127.0.0.1 - - [05/Jul/2019:11:35:08 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [05/Jul/2019:11:35:09 +0900] "GET /personalProject/amado/pages/shop.jsp HTTP/1.1" 200 23609
0:0:0:0:0:0:0:1 - - [05/Jul/2019:11:35:09 +0900] "GET /personalProject/amado/css/core-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2019:11:35:09 +0900] "GET /personalProject/amado/pages/img/product-img/product1.jpg HTTP/1.1" 404 1150
0:0:0:0:0:0:0:1 - - [05/Jul/2019:11:35:09 +0900] "GET /personalProject/amado/pages/img/product-img/product2.jpg HTTP/1.1" 404 1150
0:0:0:0:0:0:0:1 - - [05/Jul/2019:11:35:09 +0900] "GET /personalProject/amado/pages/img/core-img/cart.png HTTP/1.1" 404 1143
0:0:0:0:0:0:0:1 - - [05/Jul/2019:11:35:09 +0900] "GET /personalProject/amado/pages/img/product-img/product3.jpg HTTP/1.1" 404 1150
0:0:0:0:0:0:0:1 - - [05/Jul/2019:11:35:09 +0900] "GET /personalProject/amado/pages/img/product-img/product5.jpg HTTP/1.1" 404 1150
0:0:0:0:0:0:0:1 - - [05/Jul/2019:11:35:09 +0900] "GET /personalProject/amado/pages/img/product-img/product6.jpg HTTP/1.1" 404 1150
0:0:0:0:0:0:0:1 - - [05/Jul/2019:11:35:09 +0900] "GET /personalProject/amado/pages/img/product-img/product4.jpg HTTP/1.1" 404 1150
0:0:0:0:0:0:0:1 - - [05/Jul/2019:11:37:12 +0900] "GET /personalProject/amado/pages/shop.jsp HTTP/1.1" 200 23609
0:0:0:0:0:0:0:1 - - [05/Jul/2019:11:37:12 +0900] "GET /personalProject/amado/pages/img/product-img/product1.jpg HTTP/1.1" 404 1150
0:0:0:0:0:0:0:1 - - [05/Jul/2019:11:37:12 +0900] "GET /personalProject/amado/pages/img/product-img/product2.jpg HTTP/1.1" 404 1150
0:0:0:0:0:0:0:1 - - [05/Jul/2019:11:37:12 +0900] "GET /personalProject/amado/pages/img/product-img/product4.jpg HTTP/1.1" 404 1150
0:0:0:0:0:0:0:1 - - [05/Jul/2019:11:37:12 +0900] "GET /personalProject/amado/pages/img/product-img/product5.jpg HTTP/1.1" 404 1150
0:0:0:0:0:0:0:1 - - [05/Jul/2019:11:37:12 +0900] "GET /personalProject/amado/pages/img/product-img/product3.jpg HTTP/1.1" 404 1150
0:0:0:0:0:0:0:1 - - [05/Jul/2019:11:37:12 +0900] "GET /personalProject/amado/pages/img/core-img/cart.png HTTP/1.1" 404 1143
0:0:0:0:0:0:0:1 - - [05/Jul/2019:11:37:12 +0900] "GET /personalProject/amado/pages/img/product-img/product6.jpg HTTP/1.1" 404 1150
0:0:0:0:0:0:0:1 - - [05/Jul/2019:11:37:19 +0900] "GET /personalProject/amado/pages/index.jsp HTTP/1.1" 200 13263
0:0:0:0:0:0:0:1 - - [05/Jul/2019:11:37:19 +0900] "GET /personalProject/amado/img/bg-img/model7_4.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2019:11:37:25 +0900] "GET /personalProject/amado/pages/index.jsp HTTP/1.1" 200 13263
